pckeiba=# \d jvd_hr
                                  テーブル"public.jvd_hr"
             列             |        タイプ         | 照合順序 | Null 値を許容 | デフォルト
 yobi_4_2b                  | character varying(9)  |          |               |
 yobi_4_2c                  | character varying(3)  |          |               |
 yobi_4_3a                  | character varying(4)  |          |               |
 yobi_4_3b                  | character varying(9)  |          |               |
 yobi_4_3c                  | character varying(3)  |          |               |
 haraimodoshi_umatan_1a     | character varying(4)  |          |               |
 haraimodoshi_umatan_1b     | character varying(9)  |          |               |
 haraimodoshi_umatan_1c     | character varying(3)  |          |               |
 haraimodoshi_umatan_2a     | character varying(4)  |          |               |
 haraimodoshi_umatan_2b     | character varying(9)  |          |               |
 haraimodoshi_umatan_2c     | character varying(3)  |          |               |
 haraimodoshi_umatan_3a     | character varying(4)  |          |               |
 haraimodoshi_umatan_3b     | character varying(9)  |          |               |
 haraimodoshi_umatan_3c     | character varying(3)  |          |               |
 haraimodoshi_umatan_4a     | character varying(4)  |          |               |
 haraimodoshi_umatan_4b     | character varying(9)  |          |               |
 haraimodoshi_umatan_4c     | character varying(3)  |          |               |
 haraimodoshi_umatan_5a     | character varying(4)  |          |               |
 haraimodoshi_umatan_5b     | character varying(9)  |          |               |
 haraimodoshi_umatan_5c     | character varying(3)  |          |               |
 haraimodoshi_umatan_6a     | character varying(4)  |          |               |
 haraimodoshi_umatan_6b     | character varying(9)  |          |               |
 haraimodoshi_umatan_6c     | character varying(3)  |          |               |
 haraimodoshi_sanrenpuku_1a | character varying(6)  |          |               |
 haraimodoshi_sanrenpuku_1b | character varying(9)  |          |               |
 haraimodoshi_sanrenpuku_1c | character varying(3)  |          |               |
 haraimodoshi_sanrenpuku_2a | character varying(6)  |          |               |
 haraimodoshi_sanrenpuku_2b | character varying(9)  |          |               |
 haraimodoshi_sanrenpuku_2c | character varying(3)  |          |               |
 haraimodoshi_sanrenpuku_3a | character varying(6)  |          |               |
 haraimodoshi_sanrenpuku_3b | character varying(9)  |          |               |
 haraimodoshi_sanrenpuku_3c | character varying(3)  |          |               |
 haraimodoshi_sanrentan_1a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_1b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_1c  | character varying(4)  |          |               |
 haraimodoshi_sanrentan_2a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_2b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_2c  | character varying(4)  |          |               |
 haraimodoshi_sanrentan_3a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_3b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_3c  | character varying(4)  |          |               |
 haraimodoshi_sanrentan_4a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_4b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_4c  | character varying(4)  |          |               |
 haraimodoshi_sanrentan_5a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_5b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_5c  | character varying(4)  |          |               |
 haraimodoshi_sanrentan_6a  | character varying(6)  |          |               |
 haraimodoshi_sanrentan_6b  | character varying(9)  |          |               |
 haraimodoshi_sanrentan_6c  | character varying(4)  |          |               |
インデックス:
    "jvd_hr_pk" PRIMARY KEY, btree (kaisai_nen, kaisai_tsukihi, keibajo_code, race_bango)
